"Sample","Group","CMA_score"
"GSM362961","Control",-0.930733260680011
"GSM362962","Control",0.00420846225189899
"GSM362963","Control",0.0889082288763943
"GSM362967","Control",-0.35192275710289
"GSM362968","Control",-0.336016461002697
"GSM362969","Control",-0.479345873289792
"GSM362973","Control",-0.066848744153998
"GSM362974","Control",-0.192971451574677
"GSM362975","Control",-0.126739771720989
"GSM362979","Control",0.0512125469798215
"GSM362980","Control",-0.280206401481448
"GSM362981","Control",-0.0923160545405867
"GSM362985","Control",-0.0417976658245482
"GSM362989","Control",-0.28151295905645
"GSM362990","Control",-0.436628702107547
"GSM362991","Control",0.194595180650585
"GSM362995","Control",0.0375482472522707
"GSM362996","Control",0.175480270186477
"GSM362997","Control",-0.13384644799495
"GSM362998","Control",-0.415620905181521
"GSM362999","Control",-0.575538412900937
"GSM363000","Control",0.00194576734005575
"GSM363001","Control",-0.184109998753734
"GSM363002","Control",0.140541279897171
"GSM363003","Control",-0.216214993019461
"GSM363004","Control",0.444477974252075
"GSM363005","Control",0.106381764194483
"GSM363006","Control",0.0972353915412384
"GSM363007","Control",0.0432755282699383
"GSM363018","Control",0.00074600408020119
"GSM363019","Control",-0.178002882587493
"GSM363020","Control",-0.10243506757483
"GSM363021","Control",-0.226897916114153
"GSM363022","Control",0.159918741371744
"GSM363023","Control",-0.62542891421579
"GSM363024","Control",0.0519354992886501
"GSM363025","Control",0.159857359362278
"GSM363026","Control",0.21787198374407
"GSM363027","Control",0.0186372527190374
"GSM363028","Control",0.141977282663363
"GSM363040","Control",-0.890647782048542
"GSM363041","Control",0.212601737854693
"GSM363042","Control",-0.207200073540791
"GSM363043","Control",0.0937741204645715
"GSM363044","Control",0.173039898951722
"GSM363045","Control",-2.60403767174354
"GSM363046","Control",0.00394970439000551
"GSM363047","Control",-0.145711833046386
"GSM363058","Control",-0.150752015863323
"GSM363059","Control",0.0489898395831042
"GSM363060","Control",0.172227147218423
"GSM363061","Control",0.228438387672482
"GSM363062","Control",0.170229151770835
"GSM363063","Control",-0.422960917674615
"GSM363064","Control",-0.101748282672414
"GSM363065","Control",0.108542043560849
"GSM363066","Control",-0.538418839603091
"GSM363067","Control",0.147811524510061
"GSM363068","Control",0.0314777245680369
"GSM363088","Control",0.198208468242113
"GSM363089","Control",-0.188793258777819
"GSM363090","Control",0.0162437761393301
"GSM363091","Control",-0.287590505513772
"GSM363092","Control",-0.169384333470102
"GSM363093","Control",0.00958606222906865
"GSM363094","Control",-0.227998972389721
"GSM363095","Control",0.0718745514317596
"GSM363096","Control",0.0371199053707955
"GSM363097","Control",0.260486608466348
"GSM363103","Control",-0.0700956432647105
"GSM363110","Control",-0.579181425657046
"GSM363111","Control",-0.551387840928358
"GSM363112","Control",0.0728948204122639
"GSM363113","Control",-0.0860889256060952
"GSM363114","Control",-0.0597680019576706
